Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Sh,SoT,SoT%,PK,PKatt,CrdY,CrdR,Fls,Crs,OG,2CrdY,performance_index
Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,24.0,2002.0,22,13,1001,11.1,23,11,47.8,0,0,3,0,18,8,0,0,0.3289939297772359
Amine Adli,ma MAR,MF,Bournemouth,eng Premier League,25.0,2000.0,24,9,921,10.2,17,8,47.1,0,0,2,0,26,36,0,0,0.08888628155396876
Michel Aebischer,ch SUI,MF,Pisa,it Serie A,29.0,1997.0,25,23,2022,22.5,12,1,8.3,0,0,4,0,25,25,0,0,0.14958679482255147
David Affengruber,at AUT,DF,Elche,es La Liga,24.0,2001.0,24,21,1919,21.3,7,2,28.6,0,0,5,1,23,3,0,0,-0.02506719158536258
Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28.0,1997.0,14,12,1101,12.2,10,3,30.0,0,0,1,1,10,13,0,0,-0.5803418638437596
Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,24.0,2002.0,23,21,1845,20.5,11,2,18.2,0,0,9,0,41,15,0,0,0.10357300270692942
Marc Aguado,es ESP,MF,Elche,es La Liga,26.0,2000.0,25,21,1761,19.6,2,1,50.0,0,0,2,0,15,2,0,0,0.7470800857808001
Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29.0,1996.0,16,16,1396,15.5,10,2,20.0,0,0,4,0,21,2,0,0,-0.3747373992684368
Ruben Aguilar,fr FRA,MF,Lens,fr Ligue 1,32.0,1993.0,21,18,1503,16.7,13,3,23.1,0,0,5,1,23,79,0,1,0.0736863170942109
Honest Ahanor,it ITA,DF,Atalanta,it Serie A,18.0,2008.0,16,12,1015,11.3,10,2,20.0,0,0,1,1,16,1,0,0,-0.4997627688382603
Ola Aina,ng NGA,DF,Nottingham Forest,eng Premier League,29.0,1996.0,12,12,1049,11.7,10,1,10.0,0,0,3,0,10,31,0,0,-0.6942824586905278
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27.0,1998.0,22,18,1539,17.1,10,3,30.0,0,0,2,0,21,7,0,0,-0.5710619861230296
Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,32.0,1994.0,23,23,2011,22.3,40,14,35.0,0,0,8,1,45,8,0,0,0.8553049516676966
